,text,POS
0,В,ADP
1,связи,NOUN
2,с,ADP
3,волной,NOUN
4,заселения,NOUN
5,нам,PRON
6,одобрили,VERB
7,увеличение,NOUN
8,количества,NOUN
9,автобусных,ADJ
10,рейсов,NOUN
11,",",PUNCT
12,также,CCONJ
13,разрешили,VERB
14,оставить,VERB
15,славянки,NOUN
16,в,ADP
17,эти,DET
18,выходные,NOUN
19,.,PUNCT
20,Выражаем,VERB
21,благодарность,NOUN
22,Музагафарову,NOUN
23,Алику,NOUN
24,Галеевичу,NOUN
25,",",PUNCT
26,начальнику,NOUN
27,Управления,NOUN
28,транспортного,ADJ
29,обеспечения,NOUN
30,НИУ,NOUN
31,ВШЭ,NOUN
32,",",PUNCT
33,и,CCONJ
34,транспортной,ADJ
35,компании,NOUN
36,за,ADP
37,оперативную,ADJ
38,помощь,NOUN
39,в,ADP
40,данном,ADJ
41,вопросе,NOUN
42,.,PUNCT
43,В,ADP
44,понедельник,NOUN
45,",",PUNCT
46,28,NUM
47,августа,NOUN
48,",",PUNCT
49,будет,AUX
50,действовать,VERB
51,каникулярное,ADJ
52,расписание,NOUN
53,",",PUNCT
54,а,CCONJ
55,со,ADP
56,вторника,NOUN
57,",",PUNCT
58,29,NUM
59,августа,NOUN
60,",",PUNCT
61,в,ADP
62,силу,NOUN
63,вступит,VERB
64,полноценное,ADJ
65,учебное,ADJ
66,расписание,NOUN
67,с,ADP
68,молодежками,NOUN
69,и,CCONJ
70,славянками,NOUN
71,.,PUNCT
72,такси,NOUN
73,от,ADP
74,славянки,NOUN
75,кунцевской,NOUN
76,молодежки,NOUN
77,до,ADP
78,дубков,NOUN
79,через,ADP
80,15-25,NUM
81,минут,NOUN
82,.,PUNCT
83,А,INTJ
84,где,ADV
85,молодежка,NOUN
86,на,ADP
87,16:35,NUM
88,?,PUNCT
89,Тут,ADV
90,рядышком,ADV
91,уже,ADV
92,15,NUM
93,минут,NOUN
94,стоят,VERB
95,два,NUM
96,автобуса,NOUN
97,",",PUNCT
98,но,CCONJ
99,ни,PART
100,один,NUM
101,не,PART
102,желает,VERB
103,нас,PRON
104,забрать,VERB
105,?,PUNCT
106,от,ADP
107,Оди,NOUN
108,такса,NOUN
109,.,PUNCT
110,Подвезу,VERB
111,на,ADP
112,карше,NOUN
113,от,ADP
114,Оди,NOUN
115,в,ADP
116,00:20,NUM
117,.,PUNCT
118,Если,SCONJ
119,вдруг,ADV
120,кому-то,PRON
121,нужен,ADJ
122,репетитор,NOUN
123,по,ADP
124,матанализу,NOUN
125,",",PUNCT
126,линалу,NOUN
127,",",PUNCT
128,диффурам,NOUN
129,или,CCONJ
130,терверу,NOUN
131,",",PUNCT
132,напишите,VERB
133,в,ADP
134,лс,NOUN
135,.,PUNCT
136,Подготовка,NOUN
137,к,ADP
138,экзаменам,NOUN
139,и,CCONJ
140,контрольным,NOUN
141,",",PUNCT
142,решение,NOUN
143,домашек,NOUN
144,",",PUNCT
145,объяснение,NOUN
146,материала,NOUN
147,-,PUNCT
148,все,DET
149,",",PUNCT
150,что,PART
151,угодно,PART
